 	Mean1	Mean2	Mean3	Mean4	Mean5	Mean6	Mean7	Mean8	Mean9	Mean10	Mean11	Mean12
1476	1095.205	889.098	1202.700	857.333	999.241	683.781	863.438	1640.550	1277.500	537.482	713.860	1381.108
1477	1031.750	858.000	1139.050	818.333	890.963	675.781	824.000	1479.567	1208.550	504.778	691.884	1338.973
1478	949.545	825.431	1111.625	772.000	826.741	626.902	791.344	1392.400	1140.925	510.074	644.744	1260.919
1479	958.318	816.706	1073.075	773.926	812.852	620.390	741.094	1323.650	1093.700	467.556	622.767	1251.784
1480	952.523	824.137	1056.450	750.463	816.000	613.073	724.594	1303.467	1045.350	489.037	611.814	1217.189
1481	1038.568	849.804	1056.950	765.296	816.870	661.585	736.469	1281.217	1179.775	496.704	626.581	1226.784
1482	1186.500	871.157	1071.250	773.889	835.222	666.902	710.438	1290.967	1260.025	481.556	643.767	1235.703
1483	1318.523	898.922	1094.925	821.741	941.704	691.415	755.125	1251.967	1301.900	494.815	671.674	1285.676
1484	1327.659	917.294	1080.225	819.537	925.685	676.561	722.656	1220.617	1218.550	496.519	689.465	1278.757
1485	1361.795	910.627	1106.025	806.852	983.389	687.098	745.688	1203.717	1176.050	486.037	669.442	1270.324
1486	1415.068	900.745	1072.300	821.870	946.537	677.902	739.719	1161.950	1131.600	473.630	667.256	1243.811
1487	1435.023	875.118	1061.075	807.611	959.833	684.390	694.812	1137.233	1171.100	464.741	671.628	1229.811
1488	1640.386	974.294	1110.600	829.037	2135.852	722.902	732.375	1181.100	1727.400	496.185	671.977	1309.919
1489	2095.364	1262.353	1134.875	849.000	2935.722	732.707	763.094	1186.350	2317.925	513.482	690.884	1371.081
1490	2123.318	1308.373	1118.500	804.982	2997.667	714.902	736.812	1112.200	2196.350	486.000	660.023	1336.000
1491	1979.386	1220.490	1057.050	762.667	2889.611	653.610	705.719	1059.550	1975.475	469.037	604.442	1220.946
1492	1856.500	1157.373	1062.625	753.982	2717.222	644.219	700.969	1090.833	1816.975	434.444	587.000	1188.973
1493	1738.159	1076.823	1056.175	733.111	2559.333	612.634	679.875	1080.017	1669.275	440.704	577.837	1140.081
1494	1563.500	1010.000	1034.775	734.241	2358.907	608.244	689.875	1069.950	1510.275	426.852	554.884	1092.541
1495	1376.636	906.824	971.475	709.426	2147.185	584.049	647.812	1051.483	1378.775	444.852	536.674	1066.108
1496	1213.068	904.098	942.950	684.407	1920.944	579.366	658.625	1028.933	1287.675	410.000	529.186	1029.459
1497	1111.136	888.471	956.725	695.630	1758.537	569.024	654.688	1014.483	1203.250	424.556	525.581	1034.405
1498	1047.614	856.059	965.250	683.444	1627.741	591.585	606.375	1071.433	1184.750	442.815	548.651	1074.135
